epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,57322.1,1.5956,1.37095,1.33368,0.41929,0.43377,0.27011,0.13967,1.82108,2.13443,1.68274,0.000470511,0.000470511,0.000470511
147,57732.1,1.58953,1.3799,1.32475,0.41869,0.43206,0.26949,0.13934,1.812,2.10366,1.68754,0.000462259,0.000462259,0.000462259
148,58123.7,1.58565,1.35119,1.32905,0.41773,0.43545,0.27106,0.14068,1.82376,2.14491,1.67914,0.000454007,0.000454007,0.000454007
149,58521.8,1.59154,1.34927,1.3268,0.41792,0.43106,0.26929,0.14022,1.82839,2.07901,1.68564,0.000445756,0.000445756,0.000445756
150,58920.3,1.5798,1.33813,1.3191,0.41754,0.43072,0.26982,0.14031,1.82032,2.10728,1.67634,0.000437504,0.000437504,0.000437504
151,59311.9,1.58323,1.35501,1.33013,0.41738,0.43741,0.2692,0.13924,1.82281,2.11009,1.69234,0.000429253,0.000429253,0.000429253
152,59704.4,1.58311,1.3529,1.32821,0.41943,0.43071,0.26902,0.13931,1.83169,2.11738,1.68592,0.000421001,0.000421001,0.000421001
153,60112.7,1.58304,1.3422,1.32491,0.41663,0.42615,0.26676,0.13924,1.8156,2.09397,1.68573,0.000412749,0.000412749,0.000412749
154,60497.6,1.57495,1.32729,1.31972,0.41986,0.43122,0.2712,0.14134,1.81752,2.1072,1.67732,0.000404498,0.000404498,0.000404498
155,60895.5,1.56787,1.33683,1.32628,0.42561,0.4289,0.27005,0.14067,1.81942,2.12606,1.69671,0.000396246,0.000396246,0.000396246
156,61291.9,1.57417,1.33898,1.33081,0.42765,0.4286,0.26986,0.1405,1.80902,2.11412,1.69468,0.000387994,0.000387994,0.000387994
157,61685.7,1.56366,1.3325,1.32493,0.42331,0.42569,0.26893,0.1404,1.82289,2.11152,1.70141,0.000379743,0.000379743,0.000379743
158,62086.8,1.56366,1.29736,1.31097,0.41658,0.42908,0.26892,0.13981,1.83086,2.11797,1.68945,0.000371491,0.000371491,0.000371491
159,62482.4,1.55847,1.32262,1.31666,0.42102,0.43749,0.27209,0.14116,1.82657,2.09314,1.70558,0.000363239,0.000363239,0.000363239
160,62877.6,1.56152,1.30305,1.31388,0.41792,0.43027,0.26758,0.13944,1.8295,2.13491,1.70759,0.000354988,0.000354988,0.000354988
161,63271.6,1.56377,1.32249,1.31211,0.43007,0.42927,0.27232,0.14109,1.81206,2.10691,1.68744,0.000346736,0.000346736,0.000346736
162,63660.3,1.56165,1.3257,1.31594,0.41511,0.43982,0.2708,0.14059,1.82114,2.11663,1.69657,0.000338484,0.000338484,0.000338484
163,64040.7,1.56879,1.35656,1.32148,0.42301,0.4236,0.26842,0.13957,1.80947,2.11344,1.71161,0.000330233,0.000330233,0.000330233
164,64441.4,1.55786,1.32328,1.31508,0.4294,0.42944,0.27413,0.1431,1.81991,2.09633,1.69678,0.000321981,0.000321981,0.000321981
165,64839.6,1.55367,1.31687,1.31514,0.42573,0.42803,0.27055,0.142,1.80861,2.09329,1.69087,0.000313729,0.000313729,0.000313729
166,65229.9,1.54753,1.27732,1.30588,0.42193,0.43895,0.27295,0.14327,1.82218,2.11418,1.68638,0.000305478,0.000305478,0.000305478
167,65613.4,1.54432,1.27525,1.29978,0.43004,0.42417,0.27196,0.14242,1.81571,2.11786,1.69022,0.000297226,0.000297226,0.000297226
168,65993.2,1.54673,1.29768,1.30454,0.43057,0.42833,0.27393,0.14286,1.80608,2.07774,1.69274,0.000288974,0.000288974,0.000288974
169,66365.8,1.53426,1.2781,1.30184,0.41715,0.4334,0.27094,0.14232,1.81091,2.12174,1.71574,0.000280723,0.000280723,0.000280723
170,66743,1.53233,1.28963,1.29517,0.42423,0.42197,0.2702,0.1424,1.81192,2.10148,1.68121,0.000272471,0.000272471,0.000272471
171,67136.6,1.52897,1.26211,1.29284,0.42737,0.42917,0.27442,0.1445,1.81753,2.092,1.68733,0.00026422,0.00026422,0.00026422
172,67522.6,1.52884,1.28553,1.30682,0.4295,0.42504,0.27324,0.14293,1.81386,2.10555,1.69161,0.000255968,0.000255968,0.000255968
173,67921,1.5297,1.27127,1.29525,0.42934,0.43306,0.27439,0.14424,1.8118,2.10019,1.68813,0.000247716,0.000247716,0.000247716
174,68318.8,1.5393,1.28818,1.30184,0.43375,0.43044,0.27547,0.14487,1.80752,2.08874,1.68789,0.000239465,0.000239465,0.000239465
175,68700.8,1.53514,1.27604,1.30343,0.42282,0.43601,0.2744,0.1443,1.80901,2.08223,1.70298,0.000231213,0.000231213,0.000231213
176,69076.6,1.51325,1.25844,1.29333,0.4256,0.43054,0.27312,0.14458,1.8089,2.07445,1.69169,0.000222961,0.000222961,0.000222961
177,69465.4,1.54422,1.26671,1.30604,0.42502,0.43158,0.27288,0.14419,1.79815,2.08237,1.68957,0.00021471,0.00021471,0.00021471
178,69858.7,1.527,1.26554,1.29253,0.4223,0.43952,0.27435,0.14425,1.80588,2.11241,1.69663,0.000206458,0.000206458,0.000206458
179,70260,1.51949,1.2696,1.29955,0.43308,0.43672,0.27659,0.14579,1.80807,2.09499,1.69784,0.000198206,0.000198206,0.000198206
180,70655.9,1.53461,1.26048,1.29469,0.42609,0.43674,0.27597,0.14555,1.80842,2.0852,1.69799,0.000189955,0.000189955,0.000189955
181,71057.7,1.50653,1.24284,1.29326,0.43634,0.43052,0.27646,0.14553,1.8006,2.09019,1.69657,0.000181703,0.000181703,0.000181703
